Strain,IFNB_Concentration,Replicate
ΔesxBA,11.3687168320369,7
WT-HK_MOI10,6.27040137752932,7
WT-HK_MOI10,3.01615747039683,7
WT-HK_MOI10,3.17886966575345,7
Uninfected,10.1534996250669,8
Uninfected,6.06081737775922,8
Uninfected,5.79156196675214,8
WT,29.5937402997782,8
WT,26.7934840253046,8
WT,30.4015065327995,8
ΔsecA2_MOI1,40.7409143154714,8
ΔsecA2_MOI1,44.9951498093833,8
ΔsecA2_MOI1,35.1404017665241,8
ΔsecA2_MOI5,162.067402515263,8
ΔsecA2_MOI5,166.375489091376,8
ΔsecA2_MOI5,158.567082172171,8
ΔsecA2_MOI10,255.229774723713,8
ΔsecA2_MOI10,234.874065651578,8
ΔsecA2_MOI10,233.096979938931,8
ΔsecA2/secA2_MM,30.724613026008,8
ΔsecA2/secA2_MM,31.6939325056335,8
ΔsecA2/secA2_MM,24.7471429016507,8
ΔsecA2/secA2_MT,31.1015706014179,8
ΔsecA2/secA2_MT,29.3244848887712,8
ΔsecA2/secA2_MT,24.8009939838522,8
ΔesxBA,18.5004173662864,8
ΔesxBA,16.4002251604312,8
ΔesxBA,13.2230113105476,8
WT-HK_MOI10,5.19920006253656,8
WT-HK_MOI10,2.56049703466715,8
WT-HK_MOI10,0,8
Uninfected,7.64018253007403,9
Uninfected,7.69360732817514,9
Uninfected,8.97580248260184,9
WT,41.2978053337749,9
WT,47.975905096414,9
WT,39.908760583146,9
ΔsecA2_MOI1,31.5210672812713,9
ΔsecA2_MOI1,27.7279066160923,9
ΔsecA2_MOI1,33.1772360224058,9
ΔsecA2_MOI5,108.719900537379,9
ΔsecA2_MOI5,101.881526380436,9
ΔsecA2_MOI5,102.202075169043,9
ΔsecA2_MOI10,150.07069426764,9
ΔsecA2_MOI10,151.566588614471,9
ΔsecA2_MOI10,162.678946619503,9
ΔsecA2/secA2_MM,50.2197466166607,9
ΔsecA2/secA2_MM,45.2512403932572,9
ΔsecA2/secA2_MM,43.9156204407294,9
ΔsecA2/secA2_MT,45.4115147875606,9
ΔsecA2/secA2_MT,41.351230131876,9
ΔsecA2/secA2_MT,40.8169821508649,9
ΔesxBA,7.15935934716401,9
ΔesxBA,4.22099545160282,9
ΔesxBA,1.81687953705277,9
WT-HK_MOI10,0.320985190221618,9
WT-HK_MOI10,0,9
WT-HK_MOI10,0,9
Uninfected,15.5339476948284,10
Uninfected,14.7891760547254,10
Uninfected,0,10
WT,50.1371838965365,10
WT,51.0538259151247,10
WT,32.8928559218442,10
ΔsecA2_MOI1,67.7825427543611,10
ΔsecA2_MOI1,76.1469011739793,10
ΔsecA2_MOI1,57.7567706760516,10
ΔsecA2_MOI5,368.670285355968,10
ΔsecA2_MOI5,344.780302746511,10
ΔsecA2_MOI5,337.332586345481,10
ΔsecA2_MOI10,627.048754345543,10
ΔsecA2_MOI10,650.022094936412,10
ΔsecA2_MOI10,611.695000534189,10
ΔsecA2/secA2_MM,33.3511769311383,10
